1A,1B,1C,2,← Groups from AD normalisation
,,,,
YNL209W,YDL109C,YOR188W,YLR149C,
YNL246W,YDL111C,YOR208W,YLR163C,
YNL280C,YDL113C,YOR215C,YLR175W,
YNL293W,YDL119C,YOR226C,YLR180W,
YNL316C,YDL121C,YOR238W,YLR189C,
YNL329C,YDL123W,YOR241W,YLR203C,
YNL330C,YDL130W,YOR258W,YLR206W,
YNR001C,YDL130W-A,YOR275C,YLR207W,
YNR007C,YDL133C-A,YOR283W,YLR222C-A,
YNR022C,YDL133W,YOR284W,YLR270W,
YNR050C,YDL134C,YOR286W,YLR277C,
YNR052C,YDL136W,YOR295W,YLR286C,
YNR061C,YDL137W,YOR305W,YLR297W,
YNR066C,YDL138W,YOR312C,YLR319C,
YNR068C,YDL142C,YOR361C,YLR321C,
YNR070W,YDL144C,YOR366W,YLR324W,
YOL010W,YDL146W,YOR367W,YLR352W,
YOL030W,YDL147W,YOR370C,YLR380W,
YOL038W,YDL155W,YOR389W,YLR397C,
YOL047C,YDL156W,YPL005W,YLR418C,
YOL049W,YDL157C,YPL043W,YLR423C,
YOL102C,YDL158C,YPL051W,YLR429W,
YOL104C,YDL160C-A,YPL060W,YLR435W,
YOL108C,YDL165W,YPL132W,YLR442C,
YOL122C,YDL169C,YPL138C,YML014W,
YOL138C,YDL176W,YPL150W,YML034W,
YOL159C,YDL180W,YPL154C,YML043C,
YOR009W,YDL183C,YPL185W,YML088W,
YOR034C-A,YDL187C,YPL188W,YML095C,
YOR060C,YDL189W,YPL189W,YML098W,
YOR066W,YDL191W,YPL199C,YML115C,
YOR077W,YDL192W,YPL213W,YML118W,
YOR087W,YDL193W,YPL235W,YMR002W,
YOR119C,YDL197C,YPL272C,YMR008C,
YOR136W,YDL198C,YPR019W,YMR028W,
YOR148C,YDL199C,YPR040W,YMR029C,
YOR169C,YDL200C,YPR051W,YMR032W,
YOR185C,YDL203C,YPR072W,YMR043W,
YOR186C-A,YDL206W,YPR101W,YMR044W,
YOR190W,YDL208W,YPR129W,YMR064W,
YOR222W,YDL210W,YPR131C,YMR066W,
YOR227W,YDL212W,YPR150W,YMR069W,
YOR237W,YDL213C,YPR194C,YMR094W,
YOR249C,YDL216C,YAL031C,YMR099C,
YOR252W,YDL217C,YBL067C,YMR132C,
YOR265W,YDL218W,YBR004C,YMR147W,
YOR272W,YDL230W,YBR083W,YMR163C,
YOR273C,YDL232W,YBR114W,YMR167W,
YOR307C,YDL235C,YBR237W,YMR168C,
YOR309C,YDL236W,YBR298C,YMR177W,
YOR311C,YDL237W,YCR057C,YMR182W-A,
YOR315W,YDL239C,YCR064C,YMR188C,
YOR337W,YDL241W,YDL025C,YMR195W,
YOR357C,YDR003W,YDR005C,YMR199W,
YOR371C,YDR003W-A,YDR072C,YMR212C,
YPL002C,YDR004W,YDR353W,YMR217W,
YPL023C,YDR007W,YDR481C,YMR225C,
YPL045W,YDR009W,YFL020C,YMR228W,
YPL055C,YDR012W,YFL057C,YMR235C,
YPL071C,YDR013W,YGL095C,YMR242C,
YPL104W,YDR016C,YGL187C,YMR270C,
YPL120W,YDR020C,YGR041W,YMR274C,
YPL151C,YDR022C,YGR088W,YMR278W,
YPL161C,YDR024W,YGR158C,YMR280C,
YPL172C,YDR031W,YGR163W,YMR288W,
YPL207W,YDR032C,YHR119W,YMR300C,
YPL216W,YDR034W-B,YIL155C,YNL041C,
YPL232W,YDR036C,YJL045W,YNL062C,
YPL243W,YDR041W,YKR023W,YNL103W,
YPL248C,YDR042C,YLL059C,YNL106C,
YPL256C,YDR044W,YML100W,YNL117W,
YPL274W,YDR045C,YML105C,YNL142W,
YPR003C,YDR047W,YMR152W,YNL161W,
YPR009W,YDR051C,YMR232W,YNL166C,
YPR018W,YDR052C,YMR267W,YNL170W,
YPR030W,YDR054C,YNL011C,YNL173C,
YPR047W,YDR055W,YNL073W,YNL176C,
YPR070W,YDR058C,YOL066C,YNL181W,
YPR084W,YDR059C,YOR110W,YNL182C,
YPR105C,YDR063W,YPL054W,YNL183C,
YPR116W,YDR064W,,YNL193W,
YPR120C,YDR065W,,YNL199C,
YPR132W,YDR067C,,YNL204C,
YPR138C,YDR071C,,YNL220W,
YPR144C,YDR073W,,YNL224C,
YPR154W,YDR079C-A,,YNL225C,
YPR155C,YDR079W,,YNL229C,
