1,2A,2B,2C,3A,3B
,,YER048C,YLR448W,YGL107C,YLR195C
,,YER048W-A,YML001W,YGL116W,YLR197W
,,YER053C,YML004C,YGL125W,YLR208W
,,YER056C-A,YML019W,YGL129C,YLR244C
,,YER057C,YML021C,YGL131C,YLR249W
,,YER060W,YML048W,YGL141W,YLR270W
,,YER062C,YML056C,YGL143C,YLR291C
,,YER063W,YML057W,YGL163C,YLR304C
,,YER067W,YML063W,YGL172W,YLR312W-A
,,YER072W,YML073C,YGL173C,YLR328W
,,YER074W,YML085C,YGL178W,YLR342W
,,YER074W-A,YML092C,YGL190C,YLR359W
,,YER081W,YML106W,YGL197W,YLR380W
,,YER087C-B,YML124C,YGL201C,YLR401C
,,YER088C,YML125C,YGL203C,YLR413W
,,YER092W,YML131W,YGL206C,YLR418C
,,YER103W,YMR027W,YGL209W,YLR433C
,,YER109C,YMR038C,YGL213C,YLR450W
,,YER117W,YMR062C,YGL216W,YML008C
,,YER119C,YMR083W,YGL236C,YML031W
,,YER120W,YMR088C,YGL241W,YML070W
,,YER131W,YMR092C,YGR009C,YML072C
,,YER133W,YMR099C,YGR013W,YML075C
,,YER134C,YMR105C,YGR028W,YML086C
,,YER144C,YMR116C,YGR031W,YML119W
,,YER145C,YMR178W,YGR040W,YML126C
,,YER146W,YMR184W,YGR048W,YMR006C
,,YER148W,YMR191W,YGR052W,YMR015C
,,YER150W,YMR208W,YGR054W,YMR049C
,,YER152C,YMR226C,YGR065C,YMR079W
,,YER154W,YMR238W,YGR068C,YMR091C
,,YER163C,YMR243C,YGR077C,YMR108W
,,YER174C,YMR276W,YGR079W,YMR110C
,,YER183C,YMR296C,YGR084C,YMR120C
,,YER184C,YMR297W,YGR086C,YMR131C
,,YER186C,YMR298W,YGR090W,YMR146C
,,YFL017C,YMR315W,YGR092W,YMR152W
,,YFL017W-A,YMR318C,YGR098C,YMR153W
,,YFL030W,YNL010W,YGR100W,YMR186W
,,YFL031W,YNL037C,YGR108W,YMR189W
,,YFL037W,YNL045W,YGR116W,YMR203W
,,YFR003C,YNL071W,YGR119C,YMR205C
,,YFR018C,YNL108C,YGR130C,YMR214W
,,YFR022W,YNL130C,YGR134W,YMR215W
,,YFR025C,YNL134C,YGR141W,YMR217W
,,YFR032C-A,YNL138W,YGR143W,YMR246W
,,YFR047C,YNL160W,YGR165W,YMR290C
,,YFR050C,YNL168C,YGR184C,YMR307W
,,YFR055W,YNL208W,YGR194C,YNL022C
,,YGL002W,YNL209W,YGR198W,YNL026W
,,YGL019W,YNL241C,YGR202C,YNL049C
,,YGL030W,YNL255C,YGR217W,YNL104C
,,YGL031C,YNL301C,YGR220C,YNL112W
,,YGL039W,YNR001C,YGR229C,YNL116W
,,YGL047W,YNR035C,YGR237C,YNL132W
,,YGL054C,YNR050C,YGR241C,YNL141W
,,YGL063W,YOL002C,YGR250C,YNL157W
,,YGL067W,YOL022C,YGR266W,YNL173C
,,YGL070C,YOL030W,YGR270W,YNL175C
,,YGL079W,YOL086C,YGR271W,YNL178W
,,YGL080W,YOL092W,YGR274C,YNL181W
,,YGL103W,YOL097C,YHL004W,YNL189W
,,YGL104C,YOL139C,YHL007C,YNL219C
,,YGL106W,YOL151W,YHL020C,YNL220W
,,YGL114W,YOR007C,YHL021C,YNL239W
,,YGL123W,YOR021C,YHL027W,YNL248C
,,YGL126W,YOR042W,YHL029C,YNL268W
,,YGL127C,YOR063W,YHL030W,YNL280C
,,YGL134W,YOR065W,YHR005C,YNL284C
,,YGL135W,YOR099W,YHR006W,YNL312W
,,YGL154C,YOR133W,YHR023W,YNL327W
,,YGL166W,YOR136W,YHR030C,YNR006W
,,YGL187C,YOR142W,YHR037W,YNR016C
,,YGL189C,YOR157C,YHR056C,YNR021W
,,YGL191W,YOR185C,YHR062C,YNR043W
,,YGL196W,YOR187W,YHR069C,YNR049C
,,YGL198W,YOR222W,YHR073W,YNR067C
,,YGL200C,YOR230W,YHR080C,YOL044W
,,YGL215W,YOR232W,YHR086W,YOL052C
,,YGL220W,YOR251C,YHR091C,YOL057W
,,YGL224C,YOR271C,YHR099W,YOL058W
,,YGL225W,YOR278W,YHR102W,YOL094C
,,YGL226C-A,YOR283W,YHR103W,YOL096C
,,YGL228W,YOR312C,YHR114W,YOL098C
,,YGL229C,YOR321W,YHR119W,YOL140W
,,YGL255W,YOR323C,YHR147C,YOR046C
,,YGL256W,YOR362C,YHR151C,YOR061W
,,YGR001C,YOR374W,YHR155W,YOR090C
,,YGR007W,YPL010W,YHR158C,YOR091W
,,YGR008C,YPL028W,YHR161C,YOR101W
,,YGR020C,YPL048W,YHR165C,YOR108W
,,YGR024C,YPL079W,YHR168W,YOR112W
,,YGR027C,YPL081W,YHR169W,YOR117W
,,YGR029W,YPL090C,YHR186C,YOR128C
,,YGR033C,YPL111W,YHR197W,YOR145C
,,YGR034W,YPL117C,YHR198C,YOR168W
,,YGR037C,YPL127C,YHR201C,YOR175C
,,YGR043C,YPL134C,YHR206W,YOR176W
,,YGR063C,YPL145C,YIL009W,YOR184W
,,YGR085C,YPL154C,YIL021W,YOR197W
,,YGR105W,YPL198W,YIL022W,YOR270C
,,YGR106C,YPR004C,YIL036W,YOR272W
,,YGR111W,YPR011C,YIL038C,YOR310C
,,YGR118W,YPR035W,YIL042C,YOR317W
,,YGR138C,YPR036W,YIL046W,YOR335C
,,YGR148C,YPR058W,YIL048W,YOR356W
,,YGR167W,YPR063C,YIL075C,YOR370C
,,YGR174C,YPR069C,YIL079C,YOR375C
,,YGR181W,YPR080W,YIL093C,YPL004C
,,YGR183C,YPR118W,YIL095W,YPL030W
,,YGR209C,YPR128C,YIL105C,YPL061W
,,YGR210C,YPR129W,YIL108W,YPL086C
,,YGR214W,YPR145W,YIL109C,YPL091W
,,YGR216C,YPR163C,YIL115C,YPL101W
,,YGR231C,YPR165W,YIL126W,YPL103C
,,YGR232W,YPR191W,YIL128W,YPL106C
,,YGR254W,,YIL129C,YPL129W
,,YGR257C,,YIL130W,YPL131W
,,YGR260W,,YIL131C,YPL160W
,,YGR268C,,YIL135C,YPL169C
,,YGR275W,,YIL137C,YPL206C
,,YGR279C,,YIR006C,YPL208W
,,YGR282C,,YIR008C,YPL212C
,,YHL001W,,YIR011C,YPL215W
,,YHL015W,,YIR021W,YPL231W
,,YHL035C,,YJL005W,YPL235W
,,YHL047C,,YJL012C,YPL262W
,,YHR004C,,YJL016W,YPL266W
,,YHR005C-A,,YJL020C,YPR010C
,,YHR008C,,YJL029C,YPR033C
,,YHR010W,,YJL036W,YPR041W
,,YHR012W,,YJL039C,YPR072W
,,YHR017W,,YJL050W,YPR074C
,,YHR021C,,YJL061W,YPR079W
,,YHR025W,,YJL069C,YPR088C
,,YHR026W,,YJL076W,YPR103W
,,YHR028C,,YJL083W,YPR108W
,,YHR032W,,YJL084C,YPR110C
,,YHR033W,,YJL092W,YPR125W
,,YHR039C-A,,YJL096W,YPR133C
,,YHR041C,,YJL098W,YPR144C
,,YHR046C,,YJL109C,YPR148C
,,YHR051W,,YJL112W,YPR190C
